S   UID   PID  PPID  C PRI  NI   RSS    SZ WCHAN  TTY          TIME CMD
S  1000  1469     1  0  80   0  4620 11318 ep_pol ?        00:00:00 systemd
S  1000  1471  1469  0  80   0  1912 15301 -      ?        00:00:00 (sd-pam)
S  1000  1475  1082  0  80   0  5304  5655 wait   tty1     00:00:00 bash
S     0  1493  1018  0  80   0  6744 23206 -      ?        00:00:00 sshd
S  1000  1524  1493  0  80   0  3480 23206 -      ?        00:00:00 sshd
S  1000  1525  1524  0  80   0  1892  3219 -      ?        00:00:00 sftp-server
S     0  1527     2  0  80   0     0     0 -      ?        00:00:00 kworker/u2:1
S     0  1553     2  0  80   0     0     0 -      ?        00:00:00 kworker/0:0
S     0  1554     2  0  80   0     0     0 -      ?        00:00:00 kworker/u2:0
R  1000  1565  1475  0  80   0  1616  7228 -      tty1     00:00:00 ps
